                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7956,                  2.488,                  1.646,                0.84008,                0.75145,                 0.8234,                0.48013,                 1.3306,                 1.5714,                 1.3952,                  8e-05,                  8e-05,                  8e-05
                      2,                 1.4994,                 1.3037,                 1.3918,                0.94965,                0.87222,                0.91581,                0.54992,                 1.3149,                 1.3502,                 1.3026,             0.00017822,             0.00017822,             0.00017822
                      3,                 1.4666,                0.93449,                 1.2946,                0.95449,                0.90751,                0.94081,                0.57672,                  1.306,                  1.286,                 1.2823,             0.00027446,             0.00027446,             0.00027446
                      4,                  1.487,                 0.9256,                 1.3291,                0.95503,                0.86705,                0.92473,                0.56453,                 1.3078,                 1.1141,                 1.2797,             0.00036871,             0.00036871,             0.00036871
                      5,                 1.4488,                0.88341,                 1.2918,                  0.933,                0.88548,                0.92459,                0.57419,                  1.298,                0.78152,                 1.2923,             0.00046099,             0.00046099,             0.00046099
                      6,                 1.3863,                0.94535,                  1.279,                0.88157,                0.91908,                0.92973,                0.56319,                 1.3026,                0.76177,                 1.3208,             0.00055129,             0.00055129,             0.00055129
                      7,                 1.4626,                0.88345,                 1.3345,                0.94842,                0.85036,                0.94815,                0.57929,                 1.3197,                0.72815,                   1.27,             0.00063961,             0.00063961,             0.00063961
                      8,                 1.3567,                0.77339,                 1.2629,                0.72097,                0.84971,                0.74002,                 0.4226,                 1.3732,                0.98393,                 1.2956,             0.00072595,             0.00072595,             0.00072595
                      9,                 1.4055,                0.78735,                 1.2528,                0.89941,                0.81503,                0.89618,                0.55229,                 1.3169,                0.91331,                 1.2793,              0.0008103,              0.0008103,              0.0008103
                     10,                 1.3261,                0.76656,                 1.2742,                0.62989,                0.75723,                0.68192,                0.40923,                 1.3551,                 1.0103,                 1.2819,             0.00089268,             0.00089268,             0.00089268
                     11,                 1.3977,                0.80366,                 1.2489,                0.31721,                0.82659,                0.30947,                0.17723,                 1.3579,                 1.9558,                 1.3123,             0.00097308,             0.00097308,             0.00097308
                     12,                 1.3567,                0.76069,                 1.2908,                0.80916,                0.83328,                0.86474,                 0.5237,                 1.3598,                0.89069,                 1.3095,              0.0010515,              0.0010515,              0.0010515
                     13,                 1.4268,                 0.7353,                 1.3093,                0.88346,                0.70114,                0.82706,                0.51192,                 1.3637,                 1.0635,                 1.3371,              0.0011279,              0.0011279,              0.0011279
                     14,                 1.3984,                0.72435,                 1.2991,                0.59249,                0.46821,                0.51543,                0.24448,                 2.0124,                 1.7433,                 1.7165,              0.0012024,              0.0012024,              0.0012024
                     15,                 1.4408,                0.76794,                 1.3102,                0.92141,                0.80347,                0.91121,                0.55377,                 1.3519,                0.95734,                  1.324,              0.0012749,              0.0012749,              0.0012749
                     16,                 1.3613,                0.73931,                 1.3317,                 0.8672,                0.74566,                0.81297,                0.44709,                 1.6108,                 1.2084,                 1.4204,              0.0013454,              0.0013454,              0.0013454
                     17,                 1.4287,                0.80697,                 1.3425,                0.64278,                0.59538,                0.58593,                0.28518,                 1.8873,                  1.812,                 1.7222,              0.0014139,              0.0014139,              0.0014139
                     18,                  1.383,                0.74641,                 1.2733,                0.83426,                0.75723,                 0.8678,                0.50833,                 1.4511,                 1.1779,                 1.3297,              0.0014804,              0.0014804,              0.0014804
                     19,                 1.3866,                0.74558,                 1.2815,                0.82361,                0.80968,                0.87482,                0.51872,                 1.3798,                 1.0239,                 1.2945,               0.001545,               0.001545,               0.001545
                     20,                 1.2783,                0.67894,                 1.2159,                0.91333,                0.85284,                0.91102,                0.54141,                  1.441,                0.82931,                 1.3422,              0.0016076,              0.0016076,              0.0016076
                     21,                 1.2963,                0.68327,                 1.2557,                0.90247,                0.80228,                0.89556,                0.50631,                 1.4932,                0.94805,                 1.3821,               0.001604,               0.001604,               0.001604
                     22,                  1.374,                0.70136,                 1.2914,                0.76261,                0.61272,                0.70155,                0.35535,                 1.7512,                 1.5003,                 1.6461,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.3391,                0.73241,                 1.2744,                0.57024,                0.58291,                0.55799,                0.24171,                 2.0011,                 1.9064,                  1.827,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.3402,                 0.7348,                 1.2437,                0.71056,                0.58382,                0.69556,                0.38959,                 1.6214,                 1.4075,                 1.5445,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.3549,                0.74284,                 1.2901,                0.61769,                0.67052,                0.65866,                0.37133,                 1.6308,                 1.3626,                 1.6044,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.3658,                0.67899,                 1.2644,                0.82879,                0.81147,                0.86414,                0.54402,                 1.3825,                0.99199,                 1.3484,               0.001505,               0.001505,               0.001505
                     27,                 1.3119,                0.66616,                 1.2026,                0.93051,                0.86127,                0.92209,                0.53711,                 1.4413,                0.89646,                 1.3201,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.2798,                0.66617,                 1.2065,                 0.9124,                0.90307,                 0.9349,                0.58497,                 1.3497,                0.78487,                 1.3021,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.3166,                0.68161,                 1.2814,                0.90377,                0.92294,                0.95087,                0.58619,                 1.3698,                0.70828,                 1.3088,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.3067,                0.66423,                 1.2458,                0.89032,                0.91329,                0.92752,                0.58355,                 1.3585,                0.72581,                  1.275,              0.0014258,              0.0014258,              0.0014258
                     31,                  1.267,                 0.6244,                 1.2081,                0.86245,                0.86127,                0.90928,                0.56879,                 1.3656,                0.76179,                 1.2872,               0.001406,               0.001406,               0.001406
                     32,                 1.2718,                 0.6456,                 1.2207,                0.88326,                0.86127,                0.89118,                0.55638,                 1.3359,                0.82119,                 1.2884,              0.0013862,              0.0013862,              0.0013862
